symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JPM,2019-07-09 00:00:00+00:00,113.35,113.49,112.15,112.28,8947322,98.9979057082,99.1201792574,97.9498467153,98.0633864395,8947322,0.0,1.0
JPM,2019-07-10 00:00:00+00:00,113.02,113.83,112.74,113.37,9242253,98.7096894851,99.4171293054,98.4651423868,99.0153733581,9242253,0.0,1.0
JPM,2019-07-11 00:00:00+00:00,114.1,114.36,113.12,113.37,11595170,99.6529425788,99.8800220273,98.7970277346,99.0153733581,11595170,0.0,1.0
JPM,2019-07-12 00:00:00+00:00,115.3,115.35,113.93,114.13,10783395,100.7010015717,100.7446706964,99.5044675548,99.6791440536,10783395,0.0,1.0
JPM,2019-07-15 00:00:00+00:00,113.9,115.57,113.53,115.54,12946597,99.47826608,100.9368148451,99.1551145571,100.9106133703,12946597,0.0,1.0
JPM,2019-07-16 00:00:00+00:00,115.12,115.5,112.92,113.48,16944998,100.5437927228,100.8756780706,98.6223512357,99.1114454324,16944998,0.0,1.0
JPM,2019-07-17 00:00:00+00:00,113.99,114.94,113.73,114.43,13120924,99.5568705044,100.3865838738,99.329791056,99.9411588018,13120924,0.0,1.0
JPM,2019-07-18 00:00:00+00:00,114.67,115.07,113.55,113.93,9400654,100.1507706004,100.5001235981,99.172582207,99.5044675548,9400654,0.0,1.0
JPM,2019-07-19 00:00:00+00:00,113.54,115.12,113.4,114.89,10402772,99.1638483821,100.5437927228,99.0415748329,100.3429147491,10402772,0.0,1.0
JPM,2019-07-22 00:00:00+00:00,114.27,114.45,112.77,112.91,9061487,99.8014176028,99.9586264517,98.4913438616,98.6136174108,9061487,0.0,1.0
JPM,2019-07-23 00:00:00+00:00,116.36,116.45,114.82,114.88,12752167,101.6267870155,101.70539144,100.2817779746,100.3341809242,12752167,0.0,1.0
JPM,2019-07-24 00:00:00+00:00,116.83,116.88,115.52,115.58,10011034,102.0372767877,102.0809459124,100.8931457204,100.9455486701,10011034,0.0,1.0
JPM,2019-07-25 00:00:00+00:00,115.71,117.24,115.32,116.89,10138368,101.0590883943,102.3953636103,100.7184692216,102.0896797374,10138368,0.0,1.0
JPM,2019-07-26 00:00:00+00:00,116.22,116.51,115.53,115.77,12800364,101.5045134663,101.7577943896,100.9018795454,101.111491344,12800364,0.0,1.0
JPM,2019-07-29 00:00:00+00:00,115.85,117.18,115.79,116.46,8500370,101.1813619435,102.3429606607,101.1289589938,101.7141252649,8500370,0.0,1.0
JPM,2019-07-30 00:00:00+00:00,115.59,116.08,114.76,115.19,7121146,100.954282495,101.3822399171,100.2293750249,100.6049294974,7121146,0.0,1.0
JPM,2019-07-31 00:00:00+00:00,116.0,116.18,114.86,116.1,13647968,101.3123693176,101.4695781666,100.3167132743,101.399707567,13647968,0.0,1.0
JPM,2019-08-01 00:00:00+00:00,112.94,116.8,112.6,115.33,15664530,98.6398188856,102.0110753129,98.3428688376,100.7272030466,15664530,0.0,1.0
JPM,2019-08-02 00:00:00+00:00,112.93,113.43,111.4,112.4,11025527,98.6310850607,99.0677763077,97.2948098447,98.1681923388,11025527,0.0,1.0
JPM,2019-08-05 00:00:00+00:00,109.57,110.98,108.27,110.79,15855328,95.6965198804,96.9279891971,94.5611226381,96.7620465233,15855328,0.0,1.0
JPM,2019-08-06 00:00:00+00:00,110.43,110.5,108.34,110.05,10203487,96.4476288254,96.5087656,94.6222594127,96.1157434776,10203487,0.0,1.0
JPM,2019-08-07 00:00:00+00:00,108.03,108.28,105.94,108.0,17320865,94.3515108395,94.569856463,92.5261414268,94.3253093647,17320865,0.0,1.0
JPM,2019-08-08 00:00:00+00:00,109.86,110.08,108.72,109.05,10903331,95.9498008037,96.1419449524,94.9541447604,95.2423609835,10903331,0.0,1.0
JPM,2019-08-09 00:00:00+00:00,109.74,110.45,108.29,109.35,9980834,95.8449949044,96.4650964753,94.578590288,95.5043757317,9980834,0.0,1.0
JPM,2019-08-12 00:00:00+00:00,107.68,108.5146,107.21,108.44,9266348,94.0458269666,94.7747519961,93.6353371943,94.7095976621,9266348,0.0,1.0
JPM,2019-08-13 00:00:00+00:00,109.34,110.33,107.03,107.95,12236560,95.4956419068,96.360290576,93.4781283454,94.28164024,12236560,0.0,1.0
JPM,2019-08-14 00:00:00+00:00,104.8,106.91,104.45,106.3,19491849,91.5304853835,93.3733224461,91.2248015106,92.8405591247,19491849,0.0,1.0
JPM,2019-08-15 00:00:00+00:00,105.2,106.38,104.34,104.82,13365567,91.8798383811,92.9104297242,91.1287294362,91.5479530334,13365567,0.0,1.0
JPM,2019-08-16 00:00:00+00:00,107.72,107.98,105.87,106.37,11830550,94.0807622663,94.3078417148,92.4650046522,92.9016958993,11830550,0.0,1.0
JPM,2019-08-19 00:00:00+00:00,108.69,109.75,108.42,109.63,8265570,94.9279432856,95.8537287294,94.6921300122,95.7489228301,8265570,0.0,1.0
JPM,2019-08-20 00:00:00+00:00,107.31,108.44,107.24,107.85,8376105,93.7226754437,94.7095976621,93.6615386691,94.1943019906,8376105,0.0,1.0
